Oklahoma City Thunder,Los Angeles Lakers,+288,-385
Phoenix Suns,Denver Nuggets,-164,+142
Portland Trail Blazers,Philadelphia 76ers,-435,+332
Boston Celtics,Los Angeles Clippers,-5000,+1475
Miami Heat,Memphis Grizzlies,-500,+397
New York Knicks,Orlando Magic,+202,-256
Atlanta Hawks,Minnesota Timberwolves,-1000,+694
Washington Wizards,Chicago Bulls,+247,-323
Sacramento Kings,Philadelphia 76ers,+162,-204
New Orleans Pelicans,Golden State Warriors,-455,+355
Brooklyn Nets,Cleveland Cavaliers,+215,-250
Minnesota Timberwolves,Oklahoma City Thunder,+108,-132
San Antonio Spurs,Houston Rockets,-164,+139
Toronto Raptors,Los Angeles Clippers,-200,+165
Detroit Pistons,Miami Heat,-132,+112
Phoenix Suns,Washington Wizards,-2000,+1154
Chicago Bulls,Los Angeles Lakers,+148,-175
Milwaukee Bucks,Portland Trail Blazers,+127,-147
Memphis Grizzlies,Boston Celtics,+290,-370
Charlotte Hornets,Indiana Pacers,-278,+219
Orlando Magic,New York Knicks,-1111,+665
Cleveland Cavaliers,Atlanta Hawks,-400,+317
Golden State Warriors,Philadelphia 76ers,+102,-123
Denver Nuggets,Washington Wizards,-1667,+990
Houston Rockets,Minnesota Timberwolves,-909,+607
San Antonio Spurs,Boston Celtics,-196,+175
Detroit Pistons,Los Angeles Clippers,-303,+244
New Orleans Pelicans,Memphis Grizzlies,-909,+633
Oklahoma City Thunder,Utah Jazz,+165,-196
Brooklyn Nets,Miami Heat,+106,-123
New York Knicks,Sacramento Kings,-556,+407
Indiana Pacers,Dallas Mavericks,-114,-108
Toronto Raptors,Charlotte Hornets,-123,+104
Los Angeles Lakers,Golden State Warriors,-1667,+900
Cleveland Cavaliers,Portland Trail Blazers,-667,+488
Atlanta Hawks,Dallas Mavericks,-238,+199
Los Angeles Clippers,Washington Wizards,-312,+240
Phoenix Suns,Philadelphia 76ers,-312,+240
Houston Rockets,Detroit Pistons,-500,+393
New Orleans Pelicans,Minnesota Timberwolves,-1000,+610
Memphis Grizzlies,Denver Nuggets,+229,-278
Milwaukee Bucks,Orlando Magic,+204,-250
Oklahoma City Thunder,Chicago Bulls,-125,+102
New York Knicks,Brooklyn Nets,-303,+237
Boston Celtics,Miami Heat,-233,+200
Charlotte Hornets,Sacramento Kings,-909,+625
Indiana Pacers,Portland Trail Blazers,+104,-125
Golden State Warriors,Los Angeles Clippers,-167,+146
Los Angeles Lakers,Philadelphia 76ers,-625,+454
Utah Jazz,Washington Wizards,-2000,+1263
Chicago Bulls,Boston Celtics,+100,-122
Dallas Mavericks,Detroit Pistons,-303,+249
San Antonio Spurs,Minnesota Timberwolves,-625,+455
Atlanta Hawks,Sacramento Kings,-1000,+655
Cleveland Cavaliers,Orlando Magic,-303,+252
Denver Nuggets,Brooklyn Nets,-1429,+866
Memphis Grizzlies,Portland Trail Blazers,+218,-270
New Orleans Pelicans,Houston Rockets,-263,+225
Oklahoma City Thunder,San Antonio Spurs,+181,-222
Charlotte Hornets,Toronto Raptors,-323,+250
Los Angeles Clippers,Brooklyn Nets,+106,-128
Golden State Warriors,Phoenix Suns,-125,+104
Cleveland Cavaliers,New York Knicks,-714,+469
Orlando Magic,Utah Jazz,-238,+198
Washington Wizards,Sacramento Kings,-139,+117
Los Angeles Lakers,Dallas Mavericks,-476,+376
Atlanta Hawks,Portland Trail Blazers,-185,+161
Detroit Pistons,Memphis Grizzlies,-417,+330
Milwaukee Bucks,Boston Celtics,+217,-263
Philadelphia 76ers,Miami Heat,-323,+263
Toronto Raptors,Indiana Pacers,-154,+134
Phoenix Suns,Oklahoma City Thunder,-385,+312
Denver Nuggets,Los Angeles Clippers,-1250,+740
Chicago Bulls,New Orleans Pelicans,+112,-133
Houston Rockets,San Antonio Spurs,-141,+119
Minnesota Timberwolves,Charlotte Hornets,+189,-227
Miami Heat,Utah Jazz,+118,-137
Golden State Warriors,Dallas Mavericks,+112,-133
Portland Trail Blazers,Brooklyn Nets,-303,+250
Sacramento Kings,Cleveland Cavaliers,+430,-625
Milwaukee Bucks,New Orleans Pelicans,+175,-208
Minnesota Timberwolves,New York Knicks,+192,-227
Atlanta Hawks,Indiana Pacers,-238,+200
Boston Celtics,Memphis Grizzlies,-1429,+844
Charlotte Hornets,Houston Rockets,-111,-116
Philadelphia 76ers,Chicago Bulls,-172,+147
Toronto Raptors,Detroit Pistons,-108,-120
Washington Wizards,Orlando Magic,+301,-370
Phoenix Suns,Cleveland Cavaliers,+161,-192
San Antonio Spurs,Los Angeles Lakers,-149,+127
Golden State Warriors,Brooklyn Nets,-147,+125
Portland Trail Blazers,Dallas Mavericks,-400,+305
Denver Nuggets,Oklahoma City Thunder,-1667,+990
Houston Rockets,Los Angeles Lakers,-167,+143
Minnesota Timberwolves,Memphis Grizzlies,+122,-141
Detroit Pistons,New York Knicks,-303,+239
Miami Heat,Boston Celtics,-164,+143
Atlanta Hawks,Utah Jazz,-127,+104
Orlando Magic,Chicago Bulls,-400,+313
Philadelphia 76ers,Toronto Raptors,-270,+222
Washington Wizards,New Orleans Pelicans,+318,-385
Los Angeles Clippers,Cleveland Cavaliers,+538,-833
Phoenix Suns,Dallas Mavericks,-256,+206
Sacramento Kings,Oklahoma City Thunder,-172,+147
San Antonio Spurs,Charlotte Hornets,-238,+200
Milwaukee Bucks,New York Knicks,-172,+145
Indiana Pacers,Utah Jazz,+142,-167
Portland Trail Blazers,Los Angeles Lakers,+125,-147
Denver Nuggets,Houston Rockets,-185,+158
Minnesota Timberwolves,Washington Wizards,-185,+156
Detroit Pistons,Orlando Magic,+104,-125
Miami Heat,Chicago Bulls,-222,+179
Atlanta Hawks,New Orleans Pelicans,+100,-125
Sacramento Kings,Denver Nuggets,+363,-455
Houston Rockets,Memphis Grizzlies,-1667,+1155
Oklahoma City Thunder,Philadelphia 76ers,+206,-250
Brooklyn Nets,New York Knicks,-213,+177
San Antonio Spurs,Phoenix Suns,-204,+169
Boston Celtics,Orlando Magic,-156,+134
Toronto Raptors,Utah Jazz,+167,-200
Los Angeles Clippers,Indiana Pacers,+215,-244
Portland Trail Blazers,Minnesota Timberwolves,-1667,+1000
Dallas Mavericks,Washington Wizards,-1111,+750
Milwaukee Bucks,Golden State Warriors,-385,+313
Memphis Grizzlies,Philadelphia 76ers,+192,-233
New Orleans Pelicans,Oklahoma City Thunder,-1429,+857
Cleveland Cavaliers,Miami Heat,-500,+376
New York Knicks,Charlotte Hornets,-164,+138
Atlanta Hawks,Detroit Pistons,-141,+120
Los Angeles Lakers,Minnesota Timberwolves,-3333,+1375
Utah Jazz,Denver Nuggets,-526,+418
Chicago Bulls,Milwaukee Bucks,-294,+236
Houston Rockets,Phoenix Suns,-244,+198
San Antonio Spurs,Washington Wizards,-1429,+888
Boston Celtics,Cleveland Cavaliers,-125,+104
Detroit Pistons,Golden State Warriors,-714,+492
Charlotte Hornets,Atlanta Hawks,-154,+133
Orlando Magic,Brooklyn Nets,-556,+429
Toronto Raptors,Miami Heat,-104,-118
Denver Nuggets,Portland Trail Blazers,-333,+275
New Orleans Pelicans,Dallas Mavericks,-278,+222
Los Angeles Clippers,Memphis Grizzlies,-128,+106
Portland Trail Blazers,Indiana Pacers,-625,+484
Dallas Mavericks,San Antonio Spurs,-156,+138
Utah Jazz,Houston Rockets,-476,+353
Chicago Bulls,Golden State Warriors,-370,+292
Oklahoma City Thunder,Washington Wizards,-213,+175
Brooklyn Nets,Boston Celtics,+259,-323
Miami Heat,Phoenix Suns,-147,+124
New York Knicks,Atlanta Hawks,+100,-123
Cleveland Cavaliers,Milwaukee Bucks,-1667,+967
Los Angeles Lakers,Memphis Grizzlies,-2500,+1250
Sacramento Kings,Indiana Pacers,+118,-139
Houston Rockets,Toronto Raptors,-476,+386
Milwaukee Bucks,Brooklyn Nets,-179,+152
Minnesota Timberwolves,Golden State Warriors,-118,-104
Detroit Pistons,Denver Nuggets,-149,+125
Charlotte Hornets,Chicago Bulls,-127,+102
Orlando Magic,Phoenix Suns,-323,+267
Los Angeles Clippers,San Antonio Spurs,+315,-400
Oklahoma City Thunder,Dallas Mavericks,+223,-270
Miami Heat,Cleveland Cavaliers,+138,-161
Philadelphia 76ers,New Orleans Pelicans,-137,+116
Washington Wizards,Atlanta Hawks,+158,-189
Dallas Mavericks,Toronto Raptors,-256,+218
Golden State Warriors,Utah Jazz,+166,-196
Atlanta Hawks,Cleveland Cavaliers,+152,-179
Portland Trail Blazers,San Antonio Spurs,-175,+150
Indiana Pacers,Denver Nuggets,+114,-133
Minnesota Timberwolves,Houston Rockets,+233,-286
Brooklyn Nets,New Orleans Pelicans,+161,-189
Phoenix Suns,Los Angeles Lakers,+213,-256
Boston Celtics,Detroit Pistons,-476,+359
Los Angeles Clippers,Charlotte Hornets,-104,-118
Utah Jazz,Sacramento Kings,-3333,+1183
Chicago Bulls,Houston Rockets,-118,-101
Milwaukee Bucks,Washington Wizards,-294,+238
Memphis Grizzlies,Oklahoma City Thunder,-323,+231
Miami Heat,New York Knicks,-270,+229
Philadelphia 76ers,Orlando Magic,+104,-127
Golden State Warriors,Charlotte Hornets,-127,+106
Sacramento Kings,Los Angeles Clippers,-135,+116
San Antonio Spurs,Cleveland Cavaliers,+145,-169
Denver Nuggets,Los Angeles Lakers,+114,-135
Phoenix Suns,Toronto Raptors,-185,+158
Dallas Mavericks,Oklahoma City Thunder,-556,+408
Minnesota Timberwolves,Portland Trail Blazers,+172,-204
New Orleans Pelicans,Milwaukee Bucks,-556,+423
Boston Celtics,Indiana Pacers,-1000,+685
New York Knicks,Philadelphia 76ers,-130,+108
Atlanta Hawks,Miami Heat,-217,+181
Orlando Magic,Detroit Pistons,-526,+388
Washington Wizards,Chicago Bulls,+177,-217
Los Angeles Lakers,Phoenix Suns,-833,+587
Houston Rockets,Cleveland Cavaliers,+142,-164
Los Angeles Clippers,Boston Celtics,+450,-588
Sacramento Kings,Charlotte Hornets,+133,-159
Denver Nuggets,Atlanta Hawks,-526,+409
Dallas Mavericks,Milwaukee Bucks,-357,+296
San Antonio Spurs,Portland Trail Blazers,-127,+104
Minnesota Timberwolves,Utah Jazz,+278,-345
New Orleans Pelicans,Detroit Pistons,-435,+340
Brooklyn Nets,Chicago Bulls,-119,-102
New York Knicks,Orlando Magic,+127,-149
Indiana Pacers,Memphis Grizzlies,-345,+281
Washington Wizards,Philadelphia 76ers,+168,-200
Phoenix Suns,Charlotte Hornets,-323,+260
Houston Rockets,Portland Trail Blazers,-200,+172
San Antonio Spurs,Dallas Mavericks,-169,+150
Chicago Bulls,Orlando Magic,+104,-127
Oklahoma City Thunder,Los Angeles Lakers,+304,-385
Miami Heat,Detroit Pistons,-182,+154
Cleveland Cavaliers,Memphis Grizzlies,-2500,+1096
Toronto Raptors,Minnesota Timberwolves,-294,+239
Los Angeles Clippers,Golden State Warriors,+142,-167
Sacramento Kings,New Orleans Pelicans,+374,-500
Denver Nuggets,Boston Celtics,-102,-120
Utah Jazz,Atlanta Hawks,-345,+287
Brooklyn Nets,Philadelphia 76ers,+119,-141
New York Knicks,Indiana Pacers,-294,+245
Cleveland Cavaliers,Detroit Pistons,-526,+376
