Sacramento Kings,Milwaukee Bucks,Home
Toronto Raptors,Los Angeles Lakers,Visiting
Philadelphia 76ers,Brooklyn Nets,Visiting
New Orleans Pelicans,San Antonio Spurs,Visiting
Los Angeles Lakers,Portland Trail Blazers,Visiting
Detroit Pistons,Philadelphia 76ers,Visiting
Boston Celtics,Indiana Pacers,Home
Utah Jazz,Denver Nuggets,Visiting
Cleveland Cavaliers,Charlotte Hornets,Visiting
Houston Rockets,Chicago Bulls,Visiting
Miami Heat,Atlanta Hawks,Home
Oklahoma City Thunder,Washington Wizards,Visiting
Memphis Grizzlies,Utah Jazz,Visiting
Toronto Raptors,Phoenix Suns,Home
Los Angeles Clippers,Orlando Magic,Home
Minnesota Timberwolves,Golden State Warriors,Visiting
New York Knicks,Dallas Mavericks,Visiting
Indiana Pacers,Chicago Bulls,Visiting
Houston Rockets,Brooklyn Nets,Visiting
New Orleans Pelicans,Portland Trail Blazers,Home
Los Angeles Clippers,Philadelphia 76ers,Home
Denver Nuggets,Cleveland Cavaliers,Home
Oklahoma City Thunder,Charlotte Hornets,Visiting
Milwaukee Bucks,Boston Celtics,Home
Sacramento Kings,Atlanta Hawks,Visiting
San Antonio Spurs,Phoenix Suns,Home
Indiana Pacers,New York Knicks,Visiting
Utah Jazz,Minnesota Timberwolves,Home
Dallas Mavericks,Los Angeles Lakers,Home
New Orleans Pelicans,Golden State Warriors,Home
Denver Nuggets,Chicago Bulls,Visiting
Detroit Pistons,Brooklyn Nets,Home
Philadelphia 76ers,Toronto Raptors,Home
Sacramento Kings,Orlando Magic,Home
Los Angeles Clippers,Oklahoma City Thunder,Home
Washington Wizards,Memphis Grizzlies,Visiting
Portland Trail Blazers,Houston Rockets,Home
Atlanta Hawks,Cleveland Cavaliers,Home
Miami Heat,Charlotte Hornets,Home
Detroit Pistons,Boston Celtics,Home
Dallas Mavericks,San Antonio Spurs,Home
Atlanta Hawks,Philadelphia 76ers,Visiting
Brooklyn Nets,New York Knicks,Visiting
Los Angeles Lakers,Minnesota Timberwolves,Home
Toronto Raptors,Milwaukee Bucks,Home
Sacramento Kings,Miami Heat,Visiting
Portland Trail Blazers,Indiana Pacers,Home
New Orleans Pelicans,Denver Nuggets,Home
Golden State Warriors,Chicago Bulls,Visiting
Phoenix Suns,Oklahoma City Thunder,Home
